path,relative_path,extension,size_bytes,last_modified
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot – System Documentation (Developer Handbook).docx,Final\ClinicPilot – System Documentation (Developer Handbook).docx,.docx,229490,1760782391.497571
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot_Master_Checklist_Prefilled.xlsx,Final\ClinicPilot_Master_Checklist_Prefilled.xlsx,.xlsx,7947,1760783274.6850612
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\Checklist_ClinicPilot X – AI-Powered Front Desk Assistant.docx,Misc 2\Checklist_ClinicPilot X – AI-Powered Front Desk Assistant.docx,.docx,11118,1748403019.497454
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\Clinic Pilot X — One‑page Summary & Workflow (v0.docx,Misc 2\Clinic Pilot X — One‑page Summary & Workflow (v0.docx,.docx,14991,1757308443.3535278
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\Clinic Pilot X — One‑page Summary & Workflow (v0.pdf,Misc 2\Clinic Pilot X — One‑page Summary & Workflow (v0.pdf,.pdf,37309,1757308454.541908
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot Ecosystem.pdf,Misc 2\ClinicPilot Ecosystem.pdf,.pdf,191266,1753069671.3517642
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\CLINICPILOT X Aug-3-2025 (1).pdf,Misc 2\CLINICPILOT X Aug-3-2025 (1).pdf,.pdf,314707,1757305991.9921863
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\CLINICPILOT X Aug-3-2025.docx,Misc 2\CLINICPILOT X Aug-3-2025.docx,.docx,512095,1756896166.2920878
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\CLINICPILOT X Aug-3-2025.pdf,Misc 2\CLINICPILOT X Aug-3-2025.pdf,.pdf,314707,1756896154.34646
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot X – AI-Powered Front Desk Assistant.pdf,Misc 2\ClinicPilot X – AI-Powered Front Desk Assistant.pdf,.pdf,127499,1752663162.0524561
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot_Build_Checklist (1).xlsx,Misc 2\ClinicPilot_Build_Checklist (1).xlsx,.xlsx,119189,1748411629.7056077
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot_Build_Checklist.csv,Misc 2\ClinicPilot_Build_Checklist.csv,.csv,2158,1748400837.5090978
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot_Build_Checklist.xlsx,Misc 2\ClinicPilot_Build_Checklist.xlsx,.xlsx,56785,1748403060.9931045
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot_X_Automation_Proposal.pdf,Misc 2\ClinicPilot_X_Automation_Proposal.pdf,.pdf,191791,1757468728.992086
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot_X_Build_Checklist_FINAL.xlsx,Misc 2\ClinicPilot_X_Build_Checklist_FINAL.xlsx,.xlsx,7464,1748411111.0690944
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot_X_Handoff_Sheet.docx,Misc 2\ClinicPilot_X_Handoff_Sheet.docx,.docx,37050,1756893647.667277
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\ClinicPilot_X_Voice_Assistant_Use_Cases.docx,Misc 2\ClinicPilot_X_Voice_Assistant_Use_Cases.docx,.docx,37545,1748342379.6744895
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\FULL DOCUMENTATION_ClinicPilot X – AI-Powered Front Desk Assistant.docx,Misc 2\FULL DOCUMENTATION_ClinicPilot X – AI-Powered Front Desk Assistant.docx,.docx,239615,1748587051.8629508
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\N8N Expert Response to Questions.docx,Misc 2\N8N Expert Response to Questions.docx,.docx,12006,1757402704.522964
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\SYSTEM DOCUMENTATION_ClinicPilot X – AI-Powered Front Desk Assistant.docx,Misc 2\SYSTEM DOCUMENTATION_ClinicPilot X – AI-Powered Front Desk Assistant.docx,.docx,513034,1748338531.0846808
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\System instructions_ClinicPilot X – AI-Powered Front Desk Assistant.docx,Misc 2\System instructions_ClinicPilot X – AI-Powered Front Desk Assistant.docx,.docx,513343,1748403105.1145284
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\TABLE OF CONTENTS_ClinicPilot X – AI-Powered Front Desk Assistant.docx,Misc 2\TABLE OF CONTENTS_ClinicPilot X – AI-Powered Front Desk Assistant.docx,.docx,10408,1748338463.1419642
D:\PROJECTS\CLINICPILOT X (Old)\Misc 2\Title_ ClinicPilot X – n8n Automation Blueprint & Handoff Pack.docx,Misc 2\Title_ ClinicPilot X – n8n Automation Blueprint & Handoff Pack.docx,.docx,10873,1756894298.5457532
"D:\PROJECTS\CLINICPILOT X (Old)\Misc\ChatGPT Image Oct 18, 2025, 04_51_48 PM.png","Misc\ChatGPT Image Oct 18, 2025, 04_51_48 PM.png",.png,2098087,1760777512.0807283
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot (1).png,Misc\ClinicPilot (1).png,.png,11075,1760778677.526164
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot (2).png,Misc\ClinicPilot (2).png,.png,11761,1760778834.394838
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot (Website Copies).docx,Misc\ClinicPilot (Website Copies).docx,.docx,20052,1760705429.2066748
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot Complete Documentation (Oct-17-2025).docx,Misc\ClinicPilot Complete Documentation (Oct-17-2025).docx,.docx,14896,1760780715.3873405
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot.png,Misc\ClinicPilot.png,.png,10698,1760778114.5289905
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot_Automation_Center_Settings_Schema.docx,Misc\ClinicPilot_Automation_Center_Settings_Schema.docx,.docx,38845,1760698400.5623307
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot_Developer_Handoff_n8n.docx,Misc\ClinicPilot_Developer_Handoff_n8n.docx,.docx,38107,1760698598.2381864
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot_Email_and_SMS_Templates.docx,Misc\ClinicPilot_Email_and_SMS_Templates.docx,.docx,37873,1760698525.3607972
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot_Feature_Map.docx,Misc\ClinicPilot_Feature_Map.docx,.docx,38112,1760697708.269345
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot_Incoming_Workflow.docx,Misc\ClinicPilot_Incoming_Workflow.docx,.docx,37815,1760697854.5509665
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot_Integrations_and_Credentials.docx,Misc\ClinicPilot_Integrations_and_Credentials.docx,.docx,37686,1760698312.8210204
D:\PROJECTS\CLINICPILOT X (Old)\Misc\ClinicPilot_Outgoing_Workflow.docx,Misc\ClinicPilot_Outgoing_Workflow.docx,.docx,37467,1760698173.3449247
